bus,price_status,price_per_mwh,price_per_pu_hour
1001,withheld_mip_gap_not_certified,,
1002,withheld_mip_gap_not_certified,,
1003,withheld_mip_gap_not_certified,,
1004,withheld_mip_gap_not_certified,,
1005,withheld_mip_gap_not_certified,,
1006,withheld_mip_gap_not_certified,,
1007,withheld_mip_gap_not_certified,,
1008,withheld_mip_gap_not_certified,,
1009,withheld_mip_gap_not_certified,,
1010,withheld_mip_gap_not_certified,,
1011,withheld_mip_gap_not_certified,,
1012,withheld_mip_gap_not_certified,,
1013,withheld_mip_gap_not_certified,,
1014,withheld_mip_gap_not_certified,,
1015,withheld_mip_gap_not_certified,,
1016,withheld_mip_gap_not_certified,,
1017,withheld_mip_gap_not_certified,,
1018,withheld_mip_gap_not_certified,,
1019,withheld_mip_gap_not_certified,,
1020,withheld_mip_gap_not_certified,,
1021,withheld_mip_gap_not_certified,,
1022,withheld_mip_gap_not_certified,,
1023,withheld_mip_gap_not_certified,,
1024,withheld_mip_gap_not_certified,,
1025,withheld_mip_gap_not_certified,,
1026,withheld_mip_gap_not_certified,,
1027,withheld_mip_gap_not_certified,,
1028,withheld_mip_gap_not_certified,,
1029,withheld_mip_gap_not_certified,,
1030,withheld_mip_gap_not_certified,,
1031,withheld_mip_gap_not_certified,,
1032,withheld_mip_gap_not_certified,,
1033,withheld_mip_gap_not_certified,,
1034,withheld_mip_gap_not_certified,,
1035,withheld_mip_gap_not_certified,,
1036,withheld_mip_gap_not_certified,,
1037,withheld_mip_gap_not_certified,,
1038,withheld_mip_gap_not_certified,,
1039,withheld_mip_gap_not_certified,,
1040,withheld_mip_gap_not_certified,,
1041,withheld_mip_gap_not_certified,,
1042,withheld_mip_gap_not_certified,,
1043,withheld_mip_gap_not_certified,,
1044,withheld_mip_gap_not_certified,,
1045,withheld_mip_gap_not_certified,,
1046,withheld_mip_gap_not_certified,,
1047,withheld_mip_gap_not_certified,,
1048,withheld_mip_gap_not_certified,,
1049,withheld_mip_gap_not_certified,,
1050,withheld_mip_gap_not_certified,,
1051,withheld_mip_gap_not_certified,,
1052,withheld_mip_gap_not_certified,,
1053,withheld_mip_gap_not_certified,,
1054,withheld_mip_gap_not_certified,,
1055,withheld_mip_gap_not_certified,,
1056,withheld_mip_gap_not_certified,,
1057,withheld_mip_gap_not_certified,,
1058,withheld_mip_gap_not_certified,,
1059,withheld_mip_gap_not_certified,,
1060,withheld_mip_gap_not_certified,,
1061,withheld_mip_gap_not_certified,,
1062,withheld_mip_gap_not_certified,,
1063,withheld_mip_gap_not_certified,,
1064,withheld_mip_gap_not_certified,,
1065,withheld_mip_gap_not_certified,,
1066,withheld_mip_gap_not_certified,,
1067,withheld_mip_gap_not_certified,,
1068,withheld_mip_gap_not_certified,,
1069,withheld_mip_gap_not_certified,,
1070,withheld_mip_gap_not_certified,,
1071,withheld_mip_gap_not_certified,,
1072,withheld_mip_gap_not_certified,,
1073,withheld_mip_gap_not_certified,,
1074,withheld_mip_gap_not_certified,,
1075,withheld_mip_gap_not_certified,,
1076,withheld_mip_gap_not_certified,,
1077,withheld_mip_gap_not_certified,,
1078,withheld_mip_gap_not_certified,,
1079,withheld_mip_gap_not_certified,,
1080,withheld_mip_gap_not_certified,,
1081,withheld_mip_gap_not_certified,,
1082,withheld_mip_gap_not_certified,,
1083,withheld_mip_gap_not_certified,,
1084,withheld_mip_gap_not_certified,,
1085,withheld_mip_gap_not_certified,,
1086,withheld_mip_gap_not_certified,,
1087,withheld_mip_gap_not_certified,,
1088,withheld_mip_gap_not_certified,,
1089,withheld_mip_gap_not_certified,,
1090,withheld_mip_gap_not_certified,,
1091,withheld_mip_gap_not_certified,,
2001,withheld_mip_gap_not_certified,,
2002,withheld_mip_gap_not_certified,,
2003,withheld_mip_gap_not_certified,,
2004,withheld_mip_gap_not_certified,,
2005,withheld_mip_gap_not_certified,,
2006,withheld_mip_gap_not_certified,,
2007,withheld_mip_gap_not_certified,,
2008,withheld_mip_gap_not_certified,,
2009,withheld_mip_gap_not_certified,,
2010,withheld_mip_gap_not_certified,,
2011,withheld_mip_gap_not_certified,,
2012,withheld_mip_gap_not_certified,,
2013,withheld_mip_gap_not_certified,,
2014,withheld_mip_gap_not_certified,,
2015,withheld_mip_gap_not_certified,,
2016,withheld_mip_gap_not_certified,,
2017,withheld_mip_gap_not_certified,,
2018,withheld_mip_gap_not_certified,,
2019,withheld_mip_gap_not_certified,,
