source_row,source_id,bus,source_status,pmin_mw,pmax_mw,round_1_commitment,round_2_commitment,round_3_commitment,round_2_vs_1_changed,round_3_vs_2_changed,v9_final_commitment,v11_vs_v9_changed,cpu_1e_3_commitment,v11_vs_cpu_changed,final_dispatch_mw,final_dispatch_pu,pricing_status,fixed_commitment_nodal_price_per_mwh
1,gen-row-0001,1004,1,158.25,158.25,1,1,1,0,0,1,0,1,0,158.25,1.5825,withheld_gap_not_certified,
2,gen-row-0002,1006,1,25.73,25.73,1,1,1,0,0,1,0,1,0,25.730000000000004,0.25730000000000003,withheld_gap_not_certified,
3,gen-row-0003,1009,1,61.87,61.87,1,0,0,1,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
4,gen-row-0004,1011,1,3.0,10.0,1,1,1,0,0,1,0,1,0,10.000000000000005,0.10000000000000005,withheld_gap_not_certified,
5,gen-row-0005,1021,1,149.63,149.63,1,1,1,0,0,1,0,1,0,149.63,1.4963,withheld_gap_not_certified,
6,gen-row-0006,1023,1,135.0,135.0,1,1,1,0,0,1,0,1,0,135.0,1.35,withheld_gap_not_certified,
7,gen-row-0007,1026,1,93.15,93.15,1,1,1,0,0,1,0,1,0,93.15,0.9315000000000001,withheld_gap_not_certified,
8,gen-row-0008,1033,1,208.5,208.5,1,1,1,0,0,1,0,1,0,208.5,2.085,withheld_gap_not_certified,
9,gen-row-0009,1035,1,67.5,67.5,1,1,1,0,0,1,0,1,0,67.5,0.675,withheld_gap_not_certified,
10,gen-row-0010,1039,1,110.63,110.63,1,1,1,0,0,1,0,1,0,110.63000000000001,1.1063,withheld_gap_not_certified,
11,gen-row-0011,1042,0,36.57,121.9,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
12,gen-row-0012,1043,1,44.1,44.1,1,1,1,0,0,1,0,1,0,44.1,0.441,withheld_gap_not_certified,
13,gen-row-0013,1048,0,97.56,325.2,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
14,gen-row-0014,1049,0,97.56,325.2,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
15,gen-row-0015,1050,1,26.82,89.4,0,1,0,1,1,0,0,1,1,0.0,0.0,withheld_gap_not_certified,
16,gen-row-0016,1051,1,26.82,89.4,0,1,0,1,1,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
17,gen-row-0017,1052,1,26.82,89.4,0,0,0,0,0,0,0,1,1,0.0,0.0,withheld_gap_not_certified,
18,gen-row-0018,1053,0,53.64,178.8,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
19,gen-row-0019,1057,0,36.0,120.0,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
20,gen-row-0020,1059,0,1.68,5.6,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
21,gen-row-0021,1060,0,0.6,2.0,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
22,gen-row-0022,1062,0,0.45,1.5,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
23,gen-row-0023,1063,0,69.0,230.0,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
24,gen-row-0024,1066,1,106.88,106.88,1,1,1,0,0,1,0,1,0,106.88,1.0688,withheld_gap_not_certified,
25,gen-row-0025,1070,1,120.38,120.38,1,1,1,0,0,1,0,1,0,120.38,1.2038,withheld_gap_not_certified,
26,gen-row-0026,1072,1,57.64,192.13,1,1,1,0,0,1,0,1,0,192.13,1.9213,withheld_gap_not_certified,
27,gen-row-0027,1073,1,57.64,192.13,1,1,1,0,0,1,0,1,0,192.13,1.9213,withheld_gap_not_certified,
28,gen-row-0028,1074,1,57.64,192.13,1,1,1,0,0,1,0,1,0,192.13,1.9213,withheld_gap_not_certified,
29,gen-row-0029,1075,1,57.64,192.13,1,1,1,0,0,1,0,1,0,192.13,1.9213,withheld_gap_not_certified,
30,gen-row-0030,1076,0,57.64,192.13,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
31,gen-row-0031,1077,0,57.64,192.13,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
32,gen-row-0032,1078,1,28.65,95.5,0,0,1,0,1,1,0,0,1,95.5,0.955,withheld_gap_not_certified,
33,gen-row-0033,1079,1,28.65,95.5,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
34,gen-row-0034,1080,1,28.65,95.5,0,0,1,0,1,1,0,0,1,95.5,0.955,withheld_gap_not_certified,
35,gen-row-0035,1081,0,85.95,286.5,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
36,gen-row-0036,1082,1,112.5,112.5,1,1,1,0,0,1,0,1,0,112.5,1.125,withheld_gap_not_certified,
37,gen-row-0037,1084,1,86.62,86.62,1,1,1,0,0,1,0,1,0,86.62,0.8662000000000001,withheld_gap_not_certified,
38,gen-row-0038,1088,1,56.25,56.25,1,1,1,0,0,1,0,1,0,56.25,0.5625,withheld_gap_not_certified,
39,gen-row-0039,1090,1,114.37,114.37,1,1,1,0,0,1,0,1,0,114.37000000000002,1.1437000000000002,withheld_gap_not_certified,
40,gen-row-0040,1090,1,27.0,27.0,1,1,1,0,0,1,0,1,0,27.0,0.27,withheld_gap_not_certified,
41,gen-row-0041,2004,0,117.54,391.8,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
42,gen-row-0042,2005,0,117.54,391.8,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
43,gen-row-0043,2006,0,117.54,391.8,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
44,gen-row-0044,2013,1,150.45,150.45,1,1,1,0,0,1,0,1,0,150.45,1.5045,withheld_gap_not_certified,
45,gen-row-0045,2019,0,65.4,218.0,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
46,gen-row-0046,2023,1,25.0,83.33,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
47,gen-row-0047,2024,1,50.0,166.67,1,1,0,0,1,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
48,gen-row-0048,2042,1,59.7,59.7,1,1,1,0,0,1,0,1,0,59.70000000000001,0.5970000000000001,withheld_gap_not_certified,
49,gen-row-0049,2056,0,1.8,6.0,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
50,gen-row-0050,2057,1,216.0,720.0,1,1,1,0,0,1,0,1,0,583.2496720389197,5.832496720389197,withheld_gap_not_certified,
51,gen-row-0051,2059,1,60.0,60.0,1,1,1,0,0,1,0,1,0,60.0,0.6,withheld_gap_not_certified,
52,gen-row-0052,2062,1,101.55,101.55,1,1,1,0,0,1,0,1,0,101.55000000000001,1.0155,withheld_gap_not_certified,
53,gen-row-0053,2071,1,112.5,112.5,1,1,1,0,0,1,0,1,0,112.5,1.125,withheld_gap_not_certified,
54,gen-row-0054,2076,1,22.5,22.5,1,1,1,0,0,1,0,0,1,22.5,0.225,withheld_gap_not_certified,
55,gen-row-0055,2078,1,84.38,84.38,1,1,1,0,0,1,0,1,0,84.38,0.8438,withheld_gap_not_certified,
56,gen-row-0056,2083,1,6.0,20.0,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
57,gen-row-0057,2084,0,6.0,20.0,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
58,gen-row-0058,2085,0,12.0,40.0,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
59,gen-row-0059,2089,1,50.7,50.7,1,1,1,0,0,1,0,1,0,50.7,0.507,withheld_gap_not_certified,
60,gen-row-0060,2094,0,3.0,10.0,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
61,gen-row-0061,2095,0,23.85,79.5,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
62,gen-row-0062,2099,1,7.5,7.5,1,1,1,0,0,1,0,1,0,7.5,0.075,withheld_gap_not_certified,
63,gen-row-0063,2100,1,112.5,112.5,1,1,1,0,0,1,0,1,0,112.5,1.125,withheld_gap_not_certified,
64,gen-row-0064,2103,0,80.32,267.73,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
65,gen-row-0065,2104,0,80.32,267.73,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
66,gen-row-0066,2105,0,80.32,267.73,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
67,gen-row-0067,2115,1,55.41,184.72,1,0,1,1,1,1,0,1,0,184.72,1.8472,withheld_gap_not_certified,
68,gen-row-0068,2116,1,55.41,184.72,1,1,1,0,0,1,0,1,0,184.72,1.8472,withheld_gap_not_certified,
69,gen-row-0069,2117,1,55.41,184.72,1,1,1,0,0,1,0,1,0,184.72,1.8472,withheld_gap_not_certified,
70,gen-row-0070,2118,1,55.41,184.72,1,1,1,0,0,1,0,1,0,184.72,1.8472,withheld_gap_not_certified,
71,gen-row-0071,2119,1,55.41,184.72,1,1,1,0,0,0,1,1,0,184.72,1.8472,withheld_gap_not_certified,
72,gen-row-0072,2120,1,55.41,184.72,1,1,0,0,1,1,1,1,1,0.0,0.0,withheld_gap_not_certified,
73,gen-row-0073,2123,1,136.28,136.28,1,1,1,0,0,1,0,1,0,136.28,1.3628,withheld_gap_not_certified,
74,gen-row-0074,2127,1,216.45,216.45,1,1,1,0,0,1,0,1,0,216.45,2.1645,withheld_gap_not_certified,
75,gen-row-0075,3004,1,28.13,28.13,1,1,1,0,0,1,0,1,0,28.13,0.2813,withheld_gap_not_certified,
76,gen-row-0076,3017,1,127.13,127.13,1,1,1,0,0,1,0,1,0,127.12999999999998,1.2712999999999999,withheld_gap_not_certified,
77,gen-row-0077,3020,1,112.5,112.5,1,1,1,0,0,1,0,1,0,112.5,1.125,withheld_gap_not_certified,
78,gen-row-0078,3028,1,150.0,150.0,1,1,1,0,0,1,0,1,0,150.0,1.5,withheld_gap_not_certified,
79,gen-row-0079,3034,1,97.87,97.87,1,1,1,0,0,1,0,1,0,97.87,0.9787,withheld_gap_not_certified,
80,gen-row-0080,3039,1,156.75,156.75,1,1,1,0,0,1,0,1,0,156.75,1.5675,withheld_gap_not_certified,
81,gen-row-0081,3043,0,0.39,1.3,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
82,gen-row-0082,3044,0,26.82,89.4,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
83,gen-row-0083,3045,0,134.1,447.0,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
84,gen-row-0084,3048,1,180.75,180.75,1,1,1,0,0,1,0,1,0,180.75,1.8075,withheld_gap_not_certified,
85,gen-row-0085,3055,1,183.88,183.88,1,1,1,0,0,1,0,1,0,183.88,1.8388,withheld_gap_not_certified,
86,gen-row-0086,3056,1,183.88,183.88,1,1,1,0,0,1,0,1,0,183.88,1.8388,withheld_gap_not_certified,
87,gen-row-0087,3057,1,183.88,183.88,1,1,1,0,0,1,0,1,0,183.88,1.8388,withheld_gap_not_certified,
88,gen-row-0088,3060,1,124.22,124.22,1,1,1,0,0,1,0,1,0,124.22,1.2422,withheld_gap_not_certified,
89,gen-row-0089,3061,1,124.22,124.22,1,1,1,0,0,1,0,1,0,124.22,1.2422,withheld_gap_not_certified,
90,gen-row-0090,3062,1,124.22,124.22,1,1,1,0,0,1,0,1,0,124.22,1.2422,withheld_gap_not_certified,
91,gen-row-0091,3063,1,124.22,124.22,1,1,1,0,0,1,0,1,0,124.22,1.2422,withheld_gap_not_certified,
92,gen-row-0092,3065,1,60.37,60.37,1,1,1,0,0,1,0,1,0,60.370000000000005,0.6037,withheld_gap_not_certified,
93,gen-row-0093,3068,1,112.5,112.5,1,1,1,0,0,1,0,1,0,112.5,1.125,withheld_gap_not_certified,
94,gen-row-0094,3071,1,127.65,127.65,1,1,1,0,0,1,0,1,0,127.65000000000002,1.2765000000000002,withheld_gap_not_certified,
95,gen-row-0095,3074,1,74.85,74.85,1,1,1,0,0,1,0,1,0,74.85,0.7484999999999999,withheld_gap_not_certified,
96,gen-row-0096,3081,1,186.75,186.75,1,1,1,0,0,1,0,1,0,186.75,1.8675,withheld_gap_not_certified,
97,gen-row-0097,3084,1,174.37,174.37,1,1,1,0,0,1,0,1,0,174.37,1.7437,withheld_gap_not_certified,
98,gen-row-0098,3086,1,56.25,56.25,1,1,1,0,0,1,0,1,0,56.25,0.5625,withheld_gap_not_certified,
99,gen-row-0099,3087,0,22.5,75.0,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
100,gen-row-0100,3092,1,150.0,150.0,1,1,1,0,0,1,0,1,0,150.0,1.5,withheld_gap_not_certified,
101,gen-row-0101,3095,1,90.45,90.45,1,1,1,0,0,1,0,1,0,90.45,0.9045000000000001,withheld_gap_not_certified,
102,gen-row-0102,3098,1,120.0,120.0,1,1,1,0,0,1,0,1,0,120.0,1.2,withheld_gap_not_certified,
103,gen-row-0103,3105,1,44.5,44.5,1,1,1,0,0,1,0,1,0,44.5,0.445,withheld_gap_not_certified,
104,gen-row-0104,3106,1,53.02,53.02,1,1,1,0,0,1,0,1,0,53.02,0.5302,withheld_gap_not_certified,
105,gen-row-0105,3110,1,63.0,63.0,1,1,1,0,0,1,0,1,0,63.0,0.63,withheld_gap_not_certified,
106,gen-row-0106,3112,1,56.1,56.1,1,1,1,0,0,1,0,1,0,56.10000000000001,0.561,withheld_gap_not_certified,
107,gen-row-0107,3113,1,56.1,56.1,1,1,1,0,0,1,0,1,0,56.10000000000001,0.561,withheld_gap_not_certified,
108,gen-row-0108,3117,1,47.25,47.25,1,1,1,0,0,1,0,1,0,47.25,0.4725,withheld_gap_not_certified,
109,gen-row-0109,3118,1,90.0,90.0,1,1,1,0,0,1,0,1,0,90.0,0.9,withheld_gap_not_certified,
110,gen-row-0110,3120,1,29.7,29.7,1,1,1,0,0,1,0,1,0,29.7,0.297,withheld_gap_not_certified,
111,gen-row-0111,3122,1,147.75,147.75,1,1,1,0,0,1,0,1,0,147.75,1.4775,withheld_gap_not_certified,
112,gen-row-0112,3127,1,101.25,101.25,1,1,1,0,0,1,0,1,0,101.25,1.0125,withheld_gap_not_certified,
113,gen-row-0113,3129,1,94.88,94.88,1,1,1,0,0,1,0,1,0,94.88,0.9488,withheld_gap_not_certified,
114,gen-row-0114,3131,1,85.5,85.5,1,1,1,0,0,1,0,1,0,85.5,0.855,withheld_gap_not_certified,
115,gen-row-0115,3133,0,15.39,51.3,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
116,gen-row-0116,3133,0,15.39,51.3,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
117,gen-row-0117,3133,0,15.39,51.3,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
118,gen-row-0118,3137,1,75.9,75.9,1,1,1,0,0,1,0,1,0,75.9,0.759,withheld_gap_not_certified,
119,gen-row-0119,3141,1,68.62,68.62,1,1,1,0,0,1,0,1,0,68.62,0.6862,withheld_gap_not_certified,
120,gen-row-0120,4010,1,151.2,151.2,1,1,1,0,0,1,0,1,0,151.2,1.5119999999999998,withheld_gap_not_certified,
121,gen-row-0121,4026,1,123.0,410.0,1,1,1,0,0,1,0,1,0,409.99999999999994,4.1,withheld_gap_not_certified,
122,gen-row-0122,4030,1,186.72,622.4,1,1,1,0,0,1,0,1,0,483.0000000000001,4.830000000000001,withheld_gap_not_certified,
123,gen-row-0123,4045,1,93.4,93.4,1,1,1,0,0,1,0,1,0,93.4,0.934,withheld_gap_not_certified,
124,gen-row-0124,4046,1,28.5,28.5,1,1,1,0,0,1,0,1,0,28.500000000000004,0.28500000000000003,withheld_gap_not_certified,
125,gen-row-0125,4047,1,27.48,27.48,1,0,0,1,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
126,gen-row-0126,4050,1,150.0,150.0,1,1,1,0,0,1,0,1,0,150.0,1.5,withheld_gap_not_certified,
127,gen-row-0127,4052,1,13.26,44.2,0,0,1,0,1,1,0,1,0,44.19999999999998,0.44199999999999984,withheld_gap_not_certified,
128,gen-row-0128,4058,1,43.2,144.0,1,0,1,1,1,0,1,0,1,144.0,1.44,withheld_gap_not_certified,
129,gen-row-0129,4059,1,43.2,144.0,1,0,0,1,0,0,0,1,1,0.0,0.0,withheld_gap_not_certified,
130,gen-row-0130,4060,1,43.2,144.0,1,0,0,1,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
131,gen-row-0131,4061,1,51.7,172.33,1,0,1,1,1,1,0,1,0,172.33,1.7233,withheld_gap_not_certified,
132,gen-row-0132,4062,1,51.7,172.33,1,1,1,0,0,1,0,1,0,172.33,1.7233,withheld_gap_not_certified,
133,gen-row-0133,4063,1,51.7,172.33,1,1,1,0,0,1,0,1,0,172.33,1.7233,withheld_gap_not_certified,
134,gen-row-0134,4065,1,14.1,47.0,0,1,1,1,0,1,0,1,0,46.99999999999988,0.4699999999999988,withheld_gap_not_certified,
135,gen-row-0135,4075,0,52.9,176.33,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
136,gen-row-0136,4076,1,52.9,176.33,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
137,gen-row-0137,4077,1,52.9,176.33,0,0,1,0,1,1,0,1,0,174.38221961901394,1.7438221961901395,withheld_gap_not_certified,
138,gen-row-0138,4082,1,73.02,243.4,1,1,1,0,0,1,0,1,0,243.39999999999975,2.4339999999999975,withheld_gap_not_certified,
139,gen-row-0139,4083,1,73.02,243.4,1,1,1,0,0,1,0,1,0,243.4,2.434,withheld_gap_not_certified,
140,gen-row-0140,4084,1,73.02,243.4,1,1,1,0,0,1,0,1,0,243.4,2.434,withheld_gap_not_certified,
141,gen-row-0141,4085,1,105.6,352.0,1,1,1,0,0,1,0,1,0,288.687396628856,2.88687396628856,withheld_gap_not_certified,
142,gen-row-0142,4090,0,0.42,1.4,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
143,gen-row-0143,4091,1,7.05,23.5,0,1,1,1,0,1,0,1,0,23.5,0.235,withheld_gap_not_certified,
144,gen-row-0144,4092,0,2.28,7.6,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
145,gen-row-0145,4093,1,8.4,28.0,0,1,1,1,0,1,0,1,0,28.000000000000004,0.28,withheld_gap_not_certified,
146,gen-row-0146,4094,1,8.4,28.0,0,1,1,1,0,1,0,1,0,28.000000000000004,0.28,withheld_gap_not_certified,
147,gen-row-0147,4095,1,8.4,28.0,0,1,1,1,0,1,0,1,0,28.000000000000046,0.28000000000000047,withheld_gap_not_certified,
148,gen-row-0148,4096,0,8.4,28.0,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
149,gen-row-0149,4097,1,8.4,28.0,0,1,1,1,0,1,0,1,0,28.000000000000004,0.28,withheld_gap_not_certified,
150,gen-row-0150,4098,0,8.4,28.0,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
151,gen-row-0151,4105,1,135.0,135.0,1,1,1,0,0,1,0,1,0,135.0,1.35,withheld_gap_not_certified,
152,gen-row-0152,4115,1,39.54,131.8,0,1,0,1,1,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
153,gen-row-0153,4116,1,39.54,131.8,0,1,1,1,0,1,0,1,0,130.2436943409179,1.302436943409179,withheld_gap_not_certified,
154,gen-row-0154,4133,0,10.08,33.6,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
155,gen-row-0155,4134,1,10.08,33.6,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
156,gen-row-0156,4135,1,10.08,33.6,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
157,gen-row-0157,4136,1,10.08,33.6,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
158,gen-row-0158,4137,0,20.16,67.2,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
159,gen-row-0159,4138,0,19.8,66.0,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
160,gen-row-0160,4142,1,141.0,141.0,1,1,1,0,0,1,0,1,0,141.0,1.41,withheld_gap_not_certified,
161,gen-row-0161,4153,1,212.4,212.4,1,1,1,0,0,1,0,1,0,212.4,2.124,withheld_gap_not_certified,
162,gen-row-0162,4160,1,59.33,197.77,1,1,1,0,0,1,0,1,0,183.92600000000002,1.8392600000000001,withheld_gap_not_certified,
163,gen-row-0163,4161,1,59.33,197.77,1,1,1,0,0,1,0,1,0,183.92600000000002,1.8392600000000001,withheld_gap_not_certified,
164,gen-row-0164,4162,1,59.33,197.77,1,1,1,0,0,1,0,1,0,190.42339910195903,1.9042339910195905,withheld_gap_not_certified,
165,gen-row-0165,4163,0,2.7,9.0,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
166,gen-row-0166,4166,1,150.75,150.75,1,1,1,0,0,1,0,1,0,150.75,1.5075,withheld_gap_not_certified,
167,gen-row-0167,4177,1,112.5,112.5,1,1,1,0,0,1,0,1,0,112.5,1.125,withheld_gap_not_certified,
168,gen-row-0168,4181,1,150.07,150.07,1,1,1,0,0,1,0,1,0,150.07,1.5007,withheld_gap_not_certified,
169,gen-row-0169,4183,1,152.25,152.25,1,1,1,0,0,1,0,1,0,152.25,1.5225,withheld_gap_not_certified,
170,gen-row-0170,4192,1,22.5,75.0,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
171,gen-row-0171,4192,1,55.13,183.77,1,1,1,0,0,1,0,0,1,183.76999999999998,1.8377,withheld_gap_not_certified,
172,gen-row-0172,4192,0,7.2,24.0,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
173,gen-row-0173,4192,1,18.3,61.0,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
174,gen-row-0174,4192,1,3.12,10.4,0,0,0,0,0,0,0,0,0,0.0,0.0,withheld_gap_not_certified,
175,gen-row-0175,4192,1,80.1,267.0,1,1,1,0,0,1,0,1,0,267.0,2.67,withheld_gap_not_certified,
176,gen-row-0176,4192,1,80.1,267.0,1,1,1,0,0,1,0,1,0,267.0,2.67,withheld_gap_not_certified,
177,gen-row-0177,4192,1,80.1,267.0,1,1,1,0,0,1,0,1,0,267.0,2.67,withheld_gap_not_certified,
178,gen-row-0178,4192,1,55.13,183.77,1,0,0,1,0,0,0,1,1,0.0,0.0,withheld_gap_not_certified,
179,gen-row-0179,4192,1,55.13,183.77,1,1,1,0,0,1,0,1,0,183.76999999999998,1.8377,withheld_gap_not_certified,
180,gen-row-0180,4194,1,151.2,151.2,1,1,1,0,0,1,0,1,0,151.2,1.5119999999999998,withheld_gap_not_certified,
181,gen-row-0181,4195,1,69.0,69.0,1,1,1,0,0,1,0,1,0,69.0,0.69,withheld_gap_not_certified,
