round,source_row,source_id,bus,pmin_mw,pmax_mw,from_commitment,to_commitment,direction
2,3,gen-row-0003,1009,61.87,61.87,1,0,on_to_off
2,15,gen-row-0015,1050,26.82,89.4,0,1,off_to_on
2,16,gen-row-0016,1051,26.82,89.4,0,1,off_to_on
2,67,gen-row-0067,2115,55.41,184.72,1,0,on_to_off
2,125,gen-row-0125,4047,27.48,27.48,1,0,on_to_off
2,128,gen-row-0128,4058,43.2,144.0,1,0,on_to_off
2,129,gen-row-0129,4059,43.2,144.0,1,0,on_to_off
2,130,gen-row-0130,4060,43.2,144.0,1,0,on_to_off
2,131,gen-row-0131,4061,51.7,172.33,1,0,on_to_off
2,134,gen-row-0134,4065,14.1,47.0,0,1,off_to_on
2,143,gen-row-0143,4091,7.05,23.5,0,1,off_to_on
2,145,gen-row-0145,4093,8.4,28.0,0,1,off_to_on
2,146,gen-row-0146,4094,8.4,28.0,0,1,off_to_on
2,147,gen-row-0147,4095,8.4,28.0,0,1,off_to_on
2,149,gen-row-0149,4097,8.4,28.0,0,1,off_to_on
2,152,gen-row-0152,4115,39.54,131.8,0,1,off_to_on
2,153,gen-row-0153,4116,39.54,131.8,0,1,off_to_on
2,178,gen-row-0178,4192,55.13,183.77,1,0,on_to_off
2,214,gen-row-0214,5281,80.32,267.73,1,0,on_to_off
2,215,gen-row-0215,5282,80.32,267.73,1,0,on_to_off
2,247,gen-row-0247,5415,36.6,122.0,1,0,on_to_off
2,248,gen-row-0248,5416,36.6,122.0,1,0,on_to_off
2,249,gen-row-0249,5417,36.6,122.0,1,0,on_to_off
2,250,gen-row-0250,5418,35.64,118.8,1,0,on_to_off
2,251,gen-row-0251,5419,35.64,118.8,1,0,on_to_off
2,258,gen-row-0258,5444,86.7,289.0,0,1,off_to_on
2,260,gen-row-0260,5444,42.39,141.3,0,1,off_to_on
2,277,gen-row-0277,6070,54.41,181.37,1,0,on_to_off
2,278,gen-row-0278,6071,54.41,181.37,1,0,on_to_off
2,280,gen-row-0280,6073,54.41,181.37,1,0,on_to_off
2,281,gen-row-0281,6074,54.41,181.37,1,0,on_to_off
2,321,gen-row-0321,6258,58.2,194.0,1,0,on_to_off
2,334,gen-row-0334,6296,61.87,206.23,1,0,on_to_off
2,335,gen-row-0335,6297,61.9,206.23,1,0,on_to_off
2,409,gen-row-0409,7168,26.32,87.72,1,0,on_to_off
2,429,gen-row-0429,7268,27.19,90.64,1,0,on_to_off
2,440,gen-row-0440,7307,29.0,96.68,0,1,off_to_on
2,441,gen-row-0441,7308,29.0,96.68,0,1,off_to_on
2,443,gen-row-0443,7310,29.0,96.68,0,1,off_to_on
2,456,gen-row-0456,7353,205.26,684.2,0,1,off_to_on
2,457,gen-row-0457,7354,205.26,684.2,0,1,off_to_on
2,458,gen-row-0458,7355,205.26,684.2,0,1,off_to_on
2,459,gen-row-0459,7356,205.0,684.2,0,1,off_to_on
2,486,gen-row-0486,7419,26.46,88.2,0,1,off_to_on
2,487,gen-row-0487,7419,26.46,88.2,0,1,off_to_on
2,493,gen-row-0493,7422,33.75,112.5,1,0,on_to_off
3,15,gen-row-0015,1050,26.82,89.4,1,0,on_to_off
3,16,gen-row-0016,1051,26.82,89.4,1,0,on_to_off
3,32,gen-row-0032,1078,28.65,95.5,0,1,off_to_on
3,34,gen-row-0034,1080,28.65,95.5,0,1,off_to_on
3,47,gen-row-0047,2024,50.0,166.67,1,0,on_to_off
3,67,gen-row-0067,2115,55.41,184.72,0,1,off_to_on
3,72,gen-row-0072,2120,55.41,184.72,1,0,on_to_off
