gap_label,source_id,source_row,source_status,bus,pmin_mw,pmin_pu,pmax_mw,pmax_pu,cpu_commitment,gpu_commitment,gpu_minus_cpu_commitment,cpu_mip_dispatch_mw,gpu_mip_dispatch_mw,gpu_minus_cpu_mip_dispatch_mw,cpu_mip_dispatch_pu,gpu_mip_dispatch_pu,gpu_minus_cpu_mip_dispatch_pu,cpu_pricing_dispatch_mw,gpu_pricing_dispatch_mw,gpu_minus_cpu_pricing_dispatch_mw,cpu_pricing_dispatch_pu,gpu_pricing_dispatch_pu,gpu_minus_cpu_pricing_dispatch_pu,cpu_price_per_mwh,gpu_price_per_mwh,gpu_minus_cpu_price_per_mwh,cpu_price_per_pu_hour,gpu_price_per_pu_hour,gpu_minus_cpu_price_per_pu_hour
1e-3,gen-row-0001,1,1,9,231.54,2.3154,771.8,7.718,1,1,0,680.0,680.0,0.0,6.8,6.8,0.0,680.0,680.0,0.0,6.8,6.8,0.0,21.763044000000022,21.763044000000022,0.0,2176.3044000000023,2176.3044000000023,0.0
1e-3,gen-row-0002,2,1,16,133.33,1.3333000000000002,444.45,4.4445,1,1,0,444.4500000000006,444.44999999999993,-6.821210263296962e-13,4.444500000000006,4.4445,-6.217248937900877e-15,444.45,444.45,0.0,4.4445,4.4445,0.0,27.022757246295484,27.022757246295072,-4.121147867408581e-13,2702.275724629548,2702.2757246295073,-4.092726157978177e-11
1e-3,gen-row-0003,3,1,17,266.67,2.6667,888.9,8.889,1,1,0,674.0000000000034,674.0000000000052,1.8189894035458565e-12,6.740000000000034,6.740000000000053,1.865174681370263e-14,674.0000000000034,674.0000000000025,-9.094947017729282e-13,6.740000000000034,6.740000000000025,-8.881784197001252e-15,8.411999999999997,8.411999999999997,0.0,841.1999999999997,841.1999999999997,0.0
1e-3,gen-row-0004,4,1,18,47.28,0.4728,157.6,1.5759999999999998,1,1,0,157.6,157.6,0.0,1.5759999999999998,1.5759999999999998,0.0,157.6,157.6,0.0,1.5759999999999998,1.5759999999999998,0.0,27.022757246295484,27.022757246295072,-4.121147867408581e-13,2702.275724629548,2702.2757246295073,-4.092726157978177e-11
1e-3,gen-row-0005,5,1,49,0.39,0.0039000000000000003,1.3,0.013000000000000001,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,27.13621523312646,27.136215233126226,-2.3447910280083306e-13,2713.621523312646,2713.6215233126227,-2.319211489520967e-11
1e-3,gen-row-0006,6,1,50,0.78,0.0078000000000000005,2.6,0.026000000000000002,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,27.13621523312646,27.136215233126226,-2.3447910280083306e-13,2713.621523312646,2713.6215233126227,-2.319211489520967e-11
1e-3,gen-row-0007,7,0,63,0.96,0.0096,3.2,0.032,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.372168669731323,27.372168669731362,3.907985046680551e-14,2737.2168669731323,2737.2168669731363,4.092726157978177e-12
1e-3,gen-row-0008,8,1,71,1.2,0.012,4.0,0.04,1,1,0,4.000000000000005,4.0,-5.329070518200751e-15,0.040000000000000056,0.04,-5.551115123125783e-17,4.0,4.0,0.0,0.04,0.04,0.0,27.25901977449964,27.259019774499407,-2.3447910280083306e-13,2725.9019774499643,2725.9019774499407,-2.3646862246096134e-11
1e-3,gen-row-0009,9,1,72,0.6,0.006,2.0,0.02,1,1,0,2.0,2.0,0.0,0.02,0.02,0.0,2.0,2.0,0.0,0.02,0.02,0.0,27.25901977449964,27.259019774499407,-2.3447910280083306e-13,2725.9019774499643,2725.9019774499407,-2.3646862246096134e-11
1e-3,gen-row-0010,10,1,73,0.42,0.0042,1.4,0.013999999999999999,1,1,0,1.4,1.4,0.0,0.013999999999999999,0.013999999999999999,0.0,1.4,1.4,0.0,0.013999999999999999,0.013999999999999999,0.0,27.25901977449964,27.259019774499407,-2.3447910280083306e-13,2725.9019774499643,2725.9019774499407,-2.3646862246096134e-11
