source_id,source_row,source_status,bus,pmin_mw,pmin_pu,pmax_mw,pmax_pu,gap_1e-3_commitment,gap_1e-3_mip_dispatch_mw,gap_1e-3_mip_dispatch_pu,gap_1e-3_pricing_dispatch_mw,gap_1e-3_pricing_dispatch_pu,gap_1e-3_price_per_mwh,gap_1e-3_price_per_pu_hour,gap_1e-4_commitment,gap_1e-4_mip_dispatch_mw,gap_1e-4_mip_dispatch_pu,gap_1e-4_pricing_dispatch_mw,gap_1e-4_pricing_dispatch_pu,gap_1e-4_price_per_mwh,gap_1e-4_price_per_pu_hour,gap_1e-5_commitment,gap_1e-5_mip_dispatch_mw,gap_1e-5_mip_dispatch_pu,gap_1e-5_pricing_dispatch_mw,gap_1e-5_pricing_dispatch_pu,gap_1e-5_price_per_mwh,gap_1e-5_price_per_pu_hour,gap_1e-6_commitment,gap_1e-6_mip_dispatch_mw,gap_1e-6_mip_dispatch_pu,gap_1e-6_pricing_dispatch_mw,gap_1e-6_pricing_dispatch_pu,gap_1e-6_price_per_mwh,gap_1e-6_price_per_pu_hour,gap_1e-7_commitment,gap_1e-7_mip_dispatch_mw,gap_1e-7_mip_dispatch_pu,gap_1e-7_pricing_dispatch_mw,gap_1e-7_pricing_dispatch_pu,gap_1e-7_price_per_mwh,gap_1e-7_price_per_pu_hour
gen-row-0001,1,1,9,231.54,2.3154,771.8,7.718,1,680.0,6.8,680.0,6.8,21.763044000000022,2176.3044000000023,1,680.0,6.8,680.0,6.8,21.763044000000022,2176.3044000000023,1,680.0,6.8,680.0,6.8,21.763044000000022,2176.3044000000023,1,680.0,6.8,680.0,6.8,21.763044000000022,2176.3044000000023,1,680.0,6.8,680.0,6.8,21.763044000000022,2176.3044000000023
gen-row-0002,2,1,16,133.33,1.3333000000000002,444.45,4.4445,1,444.4500000000006,4.444500000000006,444.45,4.4445,27.022757246295484,2702.275724629548,1,444.4500000000006,4.444500000000006,444.45,4.4445,27.022757246295484,2702.275724629548,1,444.4500000000006,4.444500000000006,444.45,4.4445,27.022757246295484,2702.275724629548,1,444.4500000000006,4.444500000000006,444.45,4.4445,27.022757246295484,2702.275724629548,1,444.4500000000006,4.444500000000006,444.45,4.4445,27.022757246295484,2702.275724629548
gen-row-0003,3,1,17,266.67,2.6667,888.9,8.889,1,674.0000000000034,6.740000000000034,674.0000000000034,6.740000000000034,8.411999999999997,841.1999999999997,1,674.0000000000034,6.740000000000034,674.0000000000034,6.740000000000034,8.411999999999997,841.1999999999997,1,674.0000000000034,6.740000000000034,674.0000000000034,6.740000000000034,8.411999999999997,841.1999999999997,1,674.0000000000034,6.740000000000034,674.0000000000034,6.740000000000034,8.411999999999997,841.1999999999997,1,674.0000000000034,6.740000000000034,674.0000000000034,6.740000000000034,8.411999999999997,841.1999999999997
gen-row-0004,4,1,18,47.28,0.4728,157.6,1.5759999999999998,1,157.6,1.5759999999999998,157.6,1.5759999999999998,27.022757246295484,2702.275724629548,1,157.6,1.5759999999999998,157.6,1.5759999999999998,27.022757246295484,2702.275724629548,1,157.6,1.5759999999999998,157.6,1.5759999999999998,27.022757246295484,2702.275724629548,1,157.6,1.5759999999999998,157.6,1.5759999999999998,27.022757246295484,2702.275724629548,1,157.6,1.5759999999999998,157.6,1.5759999999999998,27.022757246295484,2702.275724629548
gen-row-0005,5,1,49,0.39,0.0039000000000000003,1.3,0.013000000000000001,0,0.0,0.0,-0.0,-0.0,27.13621523312646,2713.621523312646,0,0.0,0.0,-0.0,-0.0,27.13621523312646,2713.621523312646,0,0.0,0.0,-0.0,-0.0,27.13621523312646,2713.621523312646,0,0.0,0.0,-0.0,-0.0,27.13621523312646,2713.621523312646,0,0.0,0.0,-0.0,-0.0,27.13621523312646,2713.621523312646
gen-row-0006,6,1,50,0.78,0.0078000000000000005,2.6,0.026000000000000002,0,0.0,0.0,-0.0,-0.0,27.13621523312646,2713.621523312646,0,0.0,0.0,-0.0,-0.0,27.13621523312646,2713.621523312646,0,0.0,0.0,-0.0,-0.0,27.13621523312646,2713.621523312646,0,0.0,0.0,-0.0,-0.0,27.13621523312646,2713.621523312646,0,0.0,0.0,-0.0,-0.0,27.13621523312646,2713.621523312646
gen-row-0007,7,0,63,0.96,0.0096,3.2,0.032,0,0.0,0.0,0.0,0.0,27.372168669731323,2737.2168669731323,0,0.0,0.0,0.0,0.0,27.372168669731323,2737.2168669731323,0,0.0,0.0,0.0,0.0,27.372168669731323,2737.2168669731323,0,0.0,0.0,0.0,0.0,27.372168669731323,2737.2168669731323,0,0.0,0.0,0.0,0.0,27.372168669731323,2737.2168669731323
gen-row-0008,8,1,71,1.2,0.012,4.0,0.04,1,4.000000000000005,0.040000000000000056,4.0,0.04,27.25901977449964,2725.9019774499643,1,4.000000000000005,0.040000000000000056,4.0,0.04,27.25901977449964,2725.9019774499643,1,4.000000000000005,0.040000000000000056,4.0,0.04,27.25901977449964,2725.9019774499643,1,4.000000000000005,0.040000000000000056,4.0,0.04,27.25901977449964,2725.9019774499643,1,4.000000000000005,0.040000000000000056,4.0,0.04,27.25901977449964,2725.9019774499643
gen-row-0009,9,1,72,0.6,0.006,2.0,0.02,1,2.0,0.02,2.0,0.02,27.25901977449964,2725.9019774499643,1,2.0,0.02,2.0,0.02,27.25901977449964,2725.9019774499643,1,2.0,0.02,2.0,0.02,27.25901977449964,2725.9019774499643,1,2.0,0.02,2.0,0.02,27.25901977449964,2725.9019774499643,1,2.0,0.02,2.0,0.02,27.25901977449964,2725.9019774499643
gen-row-0010,10,1,73,0.42,0.0042,1.4,0.013999999999999999,1,1.4,0.013999999999999999,1.4,0.013999999999999999,27.25901977449964,2725.9019774499643,1,1.4,0.013999999999999999,1.4,0.013999999999999999,27.25901977449964,2725.9019774499643,1,1.4,0.013999999999999999,1.4,0.013999999999999999,27.25901977449964,2725.9019774499643,1,1.4,0.013999999999999999,1.4,0.013999999999999999,27.25901977449964,2725.9019774499643,1,1.4,0.013999999999999999,1.4,0.013999999999999999,27.25901977449964,2725.9019774499643
